geneID	pathway
13595	steroid_biosynthesis
15490	steroid_biosynthesis
16889	steroid_biosynthesis
16987	steroid_biosynthesis
18194	steroid_biosynthesis
20652	steroid_biosynthesis
223920	steroid_biosynthesis
235293	steroid_biosynthesis
244209	steroid_biosynthesis
73166	steroid_biosynthesis
74754	steroid_biosynthesis
101502	primary_bile_acid_biosynthesis
104086	primary_bile_acid_biosynthesis
12012	primary_bile_acid_biosynthesis
12642	primary_bile_acid_biosynthesis
13116	primary_bile_acid_biosynthesis
13122	primary_bile_acid_biosynthesis
13123	primary_bile_acid_biosynthesis
13124	primary_bile_acid_biosynthesis
15488	primary_bile_acid_biosynthesis
170789	primary_bile_acid_biosynthesis
17117	primary_bile_acid_biosynthesis
20280	primary_bile_acid_biosynthesis
208665	primary_bile_acid_biosynthesis
26459	primary_bile_acid_biosynthesis
56050	primary_bile_acid_biosynthesis
93732	primary_bile_acid_biosynthesis
12850	ubiquinone_and_other_terpenoid
15445	ubiquinone_and_other_terpenoid
18104	ubiquinone_and_other_terpenoid
217707	ubiquinone_and_other_terpenoid
230027	ubiquinone_and_other_terpenoid
234724	ubiquinone_and_other_terpenoid
27973	ubiquinone_and_other_terpenoid
52064	ubiquinone_and_other_terpenoid
56316	ubiquinone_and_other_terpenoid
71883	ubiquinone_and_other_terpenoid
100559	steroid_hormone_biosynthesis
100727	steroid_hormone_biosynthesis
105349	steroid_hormone_biosynthesis
110115	steroid_hormone_biosynthesis
112417	steroid_hormone_biosynthesis
12846	steroid_hormone_biosynthesis
13070	steroid_hormone_biosynthesis
13072	steroid_hormone_biosynthesis
13074	steroid_hormone_biosynthesis
13075	steroid_hormone_biosynthesis
13076	steroid_hormone_biosynthesis
13078	steroid_hormone_biosynthesis
13079	steroid_hormone_biosynthesis
13112	steroid_hormone_biosynthesis
13113	steroid_hormone_biosynthesis
13114	steroid_hormone_biosynthesis
13122	steroid_hormone_biosynthesis
13123	steroid_hormone_biosynthesis
14979	steroid_hormone_biosynthesis
15483	steroid_hormone_biosynthesis
15484	steroid_hormone_biosynthesis
15485	steroid_hormone_biosynthesis
15486	steroid_hormone_biosynthesis
15487	steroid_hormone_biosynthesis
15490	steroid_hormone_biosynthesis
15492	steroid_hormone_biosynthesis
15493	steroid_hormone_biosynthesis
100043456	steroid_hormone_biosynthesis
15496	steroid_hormone_biosynthesis
15497	steroid_hormone_biosynthesis
20860	steroid_hormone_biosynthesis
208665	steroid_hormone_biosynthesis
22236	steroid_hormone_biosynthesis
22238	steroid_hormone_biosynthesis
231396	steroid_hormone_biosynthesis
243085	steroid_hormone_biosynthesis
27400	steroid_hormone_biosynthesis
337924	steroid_hormone_biosynthesis
394430	steroid_hormone_biosynthesis
394432	steroid_hormone_biosynthesis
394433	steroid_hormone_biosynthesis
394434	steroid_hormone_biosynthesis
394435	steroid_hormone_biosynthesis
394436	steroid_hormone_biosynthesis
100041375	steroid_hormone_biosynthesis
54200	steroid_hormone_biosynthesis
552899	steroid_hormone_biosynthesis
56348	steroid_hormone_biosynthesis
56388	steroid_hormone_biosynthesis
57357	steroid_hormone_biosynthesis
71773	steroid_hormone_biosynthesis
72094	steroid_hormone_biosynthesis
78925	steroid_hormone_biosynthesis
94215	steroid_hormone_biosynthesis
94224	steroid_hormone_biosynthesis
94284	steroid_hormone_biosynthesis
104130	oxidative_phosphorylation
108664	oxidative_phosphorylation
110323	oxidative_phosphorylation
110935	oxidative_phosphorylation
114143	oxidative_phosphorylation
11944	oxidative_phosphorylation
11945	oxidative_phosphorylation
11946	oxidative_phosphorylation
11949	oxidative_phosphorylation
11957	oxidative_phosphorylation
11958	oxidative_phosphorylation
11964	oxidative_phosphorylation
11966	oxidative_phosphorylation
11972	oxidative_phosphorylation
11973	oxidative_phosphorylation
11974	oxidative_phosphorylation
11975	oxidative_phosphorylation
11984	oxidative_phosphorylation
12856	oxidative_phosphorylation
12857	oxidative_phosphorylation
12858	oxidative_phosphorylation
12859	oxidative_phosphorylation
12861	oxidative_phosphorylation
12862	oxidative_phosphorylation
12864	oxidative_phosphorylation
12865	oxidative_phosphorylation
12866	oxidative_phosphorylation
12867	oxidative_phosphorylation
12868	oxidative_phosphorylation
12869	oxidative_phosphorylation
140494	oxidative_phosphorylation
17705	oxidative_phosphorylation
17991	oxidative_phosphorylation
17992	oxidative_phosphorylation
17993	oxidative_phosphorylation
17995	oxidative_phosphorylation
192113	oxidative_phosphorylation
20463	oxidative_phosphorylation
21871	oxidative_phosphorylation
22272	oxidative_phosphorylation
22273	oxidative_phosphorylation
225887	oxidative_phosphorylation
226139	oxidative_phosphorylation
226646	oxidative_phosphorylation
227197	oxidative_phosphorylation
228033	oxidative_phosphorylation
230075	oxidative_phosphorylation
242341	oxidative_phosphorylation
27060	oxidative_phosphorylation
28080	oxidative_phosphorylation
333182	oxidative_phosphorylation
338375	oxidative_phosphorylation
407785	oxidative_phosphorylation
407790	oxidative_phosphorylation
54405	oxidative_phosphorylation
54411	oxidative_phosphorylation
57423	oxidative_phosphorylation
595136	oxidative_phosphorylation
66043	oxidative_phosphorylation
66046	oxidative_phosphorylation
66052	oxidative_phosphorylation
66091	oxidative_phosphorylation
66108	oxidative_phosphorylation
66142	oxidative_phosphorylation
66144	oxidative_phosphorylation
66152	oxidative_phosphorylation
66218	oxidative_phosphorylation
66237	oxidative_phosphorylation
66290	oxidative_phosphorylation
66335	oxidative_phosphorylation
66377	oxidative_phosphorylation
66414	oxidative_phosphorylation
66416	oxidative_phosphorylation
66445	oxidative_phosphorylation
66495	oxidative_phosphorylation
66576	oxidative_phosphorylation
66594	oxidative_phosphorylation
66694	oxidative_phosphorylation
66916	oxidative_phosphorylation
66925	oxidative_phosphorylation
66945	oxidative_phosphorylation
67003	oxidative_phosphorylation
67126	oxidative_phosphorylation
67130	oxidative_phosphorylation
67184	oxidative_phosphorylation
67264	oxidative_phosphorylation
67273	oxidative_phosphorylation
67530	oxidative_phosphorylation
67680	oxidative_phosphorylation
67895	oxidative_phosphorylation
67942	oxidative_phosphorylation
100041273	oxidative_phosphorylation
68197	oxidative_phosphorylation
68198	oxidative_phosphorylation
68202	oxidative_phosphorylation
68342	oxidative_phosphorylation
68349	oxidative_phosphorylation
68375	oxidative_phosphorylation
68775	oxidative_phosphorylation
69802	oxidative_phosphorylation
69875	oxidative_phosphorylation
70316	oxidative_phosphorylation
70383	oxidative_phosphorylation
71679	oxidative_phosphorylation
72900	oxidative_phosphorylation
73834	oxidative_phosphorylation
74776	oxidative_phosphorylation
74915	oxidative_phosphorylation
75406	oxidative_phosphorylation
75483	oxidative_phosphorylation
76252	oxidative_phosphorylation
76429	oxidative_phosphorylation
78174	oxidative_phosphorylation
78330	oxidative_phosphorylation
84682	oxidative_phosphorylation
103850	purine_metabolism
104110	purine_metabolism
104111	purine_metabolism
105446	purine_metabolism
107569	purine_metabolism
108147	purine_metabolism
109674	purine_metabolism
110385	purine_metabolism
110639	purine_metabolism
110855	purine_metabolism
11486	purine_metabolism
11512	purine_metabolism
11513	purine_metabolism
11514	purine_metabolism
11515	purine_metabolism
11534	purine_metabolism
11564	purine_metabolism
11565	purine_metabolism
11566	purine_metabolism
11636	purine_metabolism
11637	purine_metabolism
11639	purine_metabolism
11717	purine_metabolism
11821	purine_metabolism
12495	purine_metabolism
12496	purine_metabolism
12497	purine_metabolism
12499	purine_metabolism
13178	purine_metabolism
14198	purine_metabolism
14450	purine_metabolism
14544	purine_metabolism
14917	purine_metabolism
14918	purine_metabolism
14919	purine_metabolism
14923	purine_metabolism
16434	purine_metabolism
171567	purine_metabolism
18102	purine_metabolism
18103	purine_metabolism
18160	purine_metabolism
18573	purine_metabolism
18574	purine_metabolism
18575	purine_metabolism
18576	purine_metabolism
18577	purine_metabolism
18578	purine_metabolism
18582	purine_metabolism
18583	purine_metabolism
18584	purine_metabolism
18585	purine_metabolism
18587	purine_metabolism
18588	purine_metabolism
18605	purine_metabolism
18746	purine_metabolism
18770	purine_metabolism
18950	purine_metabolism
18968	purine_metabolism
18969	purine_metabolism
18971	purine_metabolism
18972	purine_metabolism
18973	purine_metabolism
18974	purine_metabolism
19075	purine_metabolism
19076	purine_metabolism
19139	purine_metabolism
20016	purine_metabolism
20017	purine_metabolism
20018	purine_metabolism
20019	purine_metabolism
20020	purine_metabolism
20021	purine_metabolism
20022	purine_metabolism
20133	purine_metabolism
20135	purine_metabolism
207728	purine_metabolism
209558	purine_metabolism
210044	purine_metabolism
215446	purine_metabolism
218461	purine_metabolism
218832	purine_metabolism
22262	purine_metabolism
224129	purine_metabolism
22436	purine_metabolism
225600	purine_metabolism
229363	purine_metabolism
229665	purine_metabolism
229949	purine_metabolism
230103	purine_metabolism
230718	purine_metabolism
231327	purine_metabolism
231329	purine_metabolism
234889	purine_metabolism
237823	purine_metabolism
238871	purine_metabolism
239134	purine_metabolism
23917	purine_metabolism
23918	purine_metabolism
23959	purine_metabolism
23971	purine_metabolism
23972	purine_metabolism
23984	purine_metabolism
241489	purine_metabolism
242202	purine_metabolism
245650	purine_metabolism
245841	purine_metabolism
26939	purine_metabolism
271639	purine_metabolism
27369	purine_metabolism
28071	purine_metabolism
29863	purine_metabolism
328099	purine_metabolism
382985	purine_metabolism
432530	purine_metabolism
50773	purine_metabolism
53893	purine_metabolism
54369	purine_metabolism
54611	purine_metabolism
56520	purine_metabolism
59001	purine_metabolism
64424	purine_metabolism
66136	purine_metabolism
66355	purine_metabolism
66358	purine_metabolism
66401	purine_metabolism
66420	purine_metabolism
66491	purine_metabolism
66566	purine_metabolism
72157	purine_metabolism
667034	purine_metabolism
66979	purine_metabolism
67005	purine_metabolism
67054	purine_metabolism
67065	purine_metabolism
100862375	purine_metabolism
67486	purine_metabolism
67710	purine_metabolism
